cluster,account,posts,domains,first,last,tags,uids,domain_list,prior_case,source_file
cand-docilepuppy,dison26475,2,1,2026-01-04,2026-01-16,threads14074,,itigeryou.com,,sweep_b1_accounts.csv
cand-docilepuppy,doushijiahao265,1,1,2025-09-16,2025-09-16,threads5248,,itigeryou.com,CASE-2026-003,sweep_b1_accounts.csv
cand-docilepuppy,hemiho4545,1,1,2025-09-16,2025-09-16,threads4423,,itigeryou.com,,sweep_b1_accounts.csv
cand-docilepuppy,ksxyiy,2,1,2025-06-08,2025-06-09,threads7482,,itigeryou.com,,sweep_b1_accounts.csv
cand-docilepuppy,leealy796,5,1,2025-09-18,2026-03-14,threads9656,,itigeryou.com,CASE-2026-003,sweep_b1_accounts.csv
cand-docilepuppy,mariakeppel8,1,1,2025-09-11,2025-09-11,threads9603,,itigeryou.com,CASE-2026-003,sweep_b1_accounts.csv
cand-docilepuppy,summer_699,1,1,2025-07-09,2025-07-09,,,itigeryou.com,CASE-2026-003,sweep_b1_accounts.csv
cand-docilepuppy,yejemav128,1,1,2025-09-16,2025-09-16,threads4397,,itigeryou.com,,sweep_b1_accounts.csv
family-01,chew8313,2,1,2026-02-25,2026-02-25,,8427,cocovn.net,,sweep_b1_accounts.csv
family-01,chinesenews747,24,3,2024-07-16,2025-11-21,,1883,"cocovn.net,ptttube.com,runelse.com",,sweep_b1_accounts.csv
family-01,cute.cute1229,9,1,2024-12-20,2025-08-26,,,runelse.com,,sweep_b1_accounts.csv
family-01,ericcheww,1,1,2026-02-25,2026-02-25,,8427,cocovn.net,,sweep_b1_accounts.csv
family-01,fararrinews747,2,1,2025-11-21,2025-11-21,,1883,cocovn.net,,sweep_b1_accounts.csv
family-01,fbnews747,20,1,2024-12-14,2024-12-19,,1883,runelse.com,,sweep_b1_accounts.csv
family-01,girlsnews747,24,3,2024-07-16,2025-11-21,,1883,"cocovn.net,ptttube.com,runelse.com",,sweep_b1_accounts.csv
family-01,hui1.181,4,1,2025-12-17,2026-09-06,,3863,vivi01.com,,sweep_b1_accounts.csv
family-01,hui1181_2,4,1,2026-02-14,2026-09-06,,3863,vivi01.com,,sweep_b1_accounts.csv
family-01,keatcek000003,4,1,2026-01-13,2026-01-14,,,runelse.com,,sweep_b1_accounts.csv
family-01,news.xinwen,1,1,2026-01-14,2026-01-14,,,vivi01.com,,sweep_b1_accounts.csv
family-01,phpnews747,25,2,2024-07-16,2024-12-19,,1883,"ptttube.com,runelse.com",,sweep_b1_accounts.csv
family-01,tiktoknews747,22,1,2024-12-14,2024-12-19,,1883,runelse.com,,sweep_b1_accounts.csv
family-01,turnerhugheshughes,1,1,2026-03-19,2026-03-19,,8958,cocovn.net,,sweep_b1_accounts.csv
family-01,tvbzuixinzixun,254,1,2024-11-24,2025-10-05,,576,vodsilo.cc,,sweep_b1_accounts.csv
family-01,video_clips818,7,1,2025-03-23,2025-11-09,,,runelse.com,,sweep_b1_accounts.csv
family-01,youtubenews747,22,1,2024-12-14,2024-12-19,,1883,runelse.com,,sweep_b1_accounts.csv
family-01,yunghuiwong,20,1,2025-11-04,2026-09-07,,3863,vivi01.com,,sweep_b1_accounts.csv
