run,cluster,domain,account,date,link,url,fragment,uid,likes,keyword,case_name,flag,text,source_file
2026-09-05_13-23-41,qsh-alpha,12beststar.com,viva_benard_,2026-04-19,https://www.threads.com/@viva_benard_/post/DXSx21pD1TR,https://www.12beststar.com/doc_NlRaU2VsQitsekI0QWlwVHBzVkZPQT09,,,0.0,12beststar.com,['qsh-alpha'],1,楊宗緯舞台驚魂瞬間！細節曝光：歌迷回憶摔落一刻，心臟瞬間漏跳 12beststar.com/doc_N… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,leealy796,2026-03-12,https://www.threads.com/@leealy796/post/DVxPUE-Eg-t,https://www.12beststar.com/doc_c0FXOGRXeTBVNXNjT3JNbmtpbEF6UT09,threads9656,,0.0,12beststar.com,['qsh-alpha'],1,淚水揭開真相！陳佩琪哭問柯文哲罪行，學者言辯背後「不利因素」暗流湧動 12beststar.com/doc_c… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,leealy796,2026-03-01,https://www.threads.com/@leealy796/post/DVXCSeaEj4F,https://www.12beststar.com/doc_ZVh3amFIaHJzZ3VHU01EYnFYYSt3dz09,threads9656,,0.0,12beststar.com,['qsh-alpha'],1,深夜驚魂！妙莎挽手羅志祥愛徒「暗夜驚跳」揭露未知物體疑雲 12beststar.com/doc_Z… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,leealy796,2026-01-30,https://www.threads.com/@leealy796/post/DUIAcS2kuEL,https://www.12beststar.com/doc_NlRaU2VsQitsekR4QUZDVEFRaVF1QT09,threads9656,,0.0,12beststar.com,['qsh-alpha'],1,楊宗緯舞台驚魂瞬間！細節曝光：歌迷回憶摔落一刻，心臟瞬間漏跳 12beststar.com/doc_N… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,bgy49052,2026-01-19,https://www.threads.com/@bgy49052/post/DTq_fy1Eunc,https://www.12beststar.com/doc_eTVDWnY0UjJwZi9vS2F4L3dSbEx6QT09,,,0.0,12beststar.com,['qsh-alpha'],1,驚悼！補教名師鄭奇猝逝，學子雨中「上最後一堂課」，黃捷淚送恩師告別 12beststar.com/doc_e… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,bgy49052,2025-12-17,https://www.threads.com/@bgy49052/post/DSXDwLmElyK,https://www.12beststar.com/doc_eTVDWnY0UjJwZi9vS2F4L3dSbEx6QT09,,,0.0,12beststar.com,['qsh-alpha'],1,驚悼！補教名師鄭奇猝逝，學子雨中「上最後一堂課」，黃捷淚送恩師告別 12beststar.com/doc_e… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,leealy796,2025-12-06,https://www.threads.com/@leealy796/post/DR6CjRZkss3,https://www.12beststar.com/doc_c0FXOGRXeTBVNXNjT3JNbmtpbEF6UT09,threads9656,,0.0,12beststar.com,['qsh-alpha'],1,淚水揭開真相！陳佩琪哭問柯文哲罪行，學者言辯背後「不利因素」暗流湧動 12beststar.com/doc_c… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,viva_benard_,2025-12-04,https://www.threads.com/@viva_benard_/post/DR0yKJOj1r9,https://www.12beststar.com/doc_eTVDWnY0UjJwZi9vS2F4L3dSbEx6QT09,,,0.0,12beststar.com,['qsh-alpha'],1,驚悼！補教名師鄭奇猝逝，學子雨中「上最後一堂課」，黃捷淚送恩師告別 12beststar.com/doc_e… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,leealy796,2025-11-27,https://www.threads.com/@leealy796/post/DRiuv2QkpOU,https://www.12beststar.com/doc_ZVh3amFIaHJzZ3VHU01EYnFYYSt3dz09,threads9656,,0.0,12beststar.com,['qsh-alpha'],1,深夜驚魂！妙莎挽手羅志祥愛徒「暗夜驚跳」揭露未知物體疑雲 12beststar.com/doc_Z… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,lihaiwei2904,2025-10-28,https://www.threads.com/@lihaiwei2904/post/DQVskXXE7Mq,https://www.12beststar.com/doc_NlRaU2VsQitsekI0QWlwVHBzVkZPQT09,,,0.0,12beststar.com,['qsh-alpha'],1,楊宗緯舞台驚魂瞬間！細節曝光：歌迷回憶摔落一刻，心臟瞬間漏跳 12beststar.com/doc_N… 2 / 2,sweep_b1_hits.csv
