account,posts,farm_posts,card_posts,ratio,clusters,top_domains,tags,uids,self_reply_2of2,non_registry_top,joined,location,followers,following,first,last,serp_tag,verdict,source_file
aabb112112112,363,241,188,0.66,qsh-alpha:241,"furnishwe.com:190,picture.t9y3c.com:51",,,16,"reurl.cc:45,ohiotires.com:1",July 2023,Taiwan,8339,7355,2024-06-23,2026-01-30,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
ook1401,308,183,159,0.59,qsh-alpha:183,"87choicefood.com:176,picture.t9y3c.com:3,furnishwe.com:2,didadiadi.com:1,with-summer.com:1",,,28,"lin.ee:2,manager.line.biz:2,t.me:1,summer.com:1",July 2024,China,29,14,2024-07-05,2025-03-04,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
zyy71687,297,150,142,0.51,"qsh-alpha:148,cand-qhd-adstxt:2","uoovo.com:65,eoeonews.com:31,voosweet.com:13,pets-dote.com:7,dsawjk.com:7,roadstert.com:6",#threads7374×141,,80,"twquiz.xlpxo.com:24,dote.com:7,puppys.com:6,47.com:1",April 2025,Hong Kong,45,5,2025-07-12,2026-01-30,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
jingcaifung,258,150,149,0.58,qsh-alpha:150,"lfqgj.com:97,melhoresaqui.com:49,eoeonews.com:1,co-47.com:1,12beststar.com:1,didadiadi.com:1",,,107,47.com:1,August 2024,Taiwan,7802,0,2024-09-01,2026-03-17,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
bangbadrulkerenbanget,220,113,100,0.51,"qsh-alpha:112,cand-qhd-adstxt:1","melhoresaqui.com:111,coolsaid.com:1,one-sups.com:1",#threads1840×1,,106,sups.com:1,August 2024,Indonesia,3690,0,2024-09-27,2025-05-25,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
lilonghui28382,214,106,105,0.5,qsh-alpha:106,"lfqgj.com:99,12luckyhome.com:7",,,104,,August 2024,Taiwan,3204,1,2024-09-16,2026-03-17,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
qiushuangyanyan,213,106,90,0.5,qsh-alpha:106,"coolsaid.com:103,12luckyhome.com:3",,,106,,November 2023,Taiwan,220,0,2024-04-15,2026-01-29,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
lihaiwei2904,207,104,103,0.5,qsh-alpha:104,"wujfu.com:98,coolsaid.com:3,12beststar.com:1,eoeonews.com:1,comeworlds.com:1",,,100,,August 2024,Taiwan,338,0,2024-09-03,2026-01-13,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
ccz73928,205,104,103,0.51,qsh-alpha:104,"wujfu.com:101,coolsaid.com:2,12luckyhome.com:1",,,100,,August 2024,,7516,72,2024-09-12,2026-09-04,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
viva_benard_,205,104,104,0.51,"qsh-alpha:102,cand-qhd-adstxt:2","lfqgj.com:99,12beststar.com:2,2020funtv.com:2,87choicefood.com:1",,,100,,December 2023,Taiwan,1276,1,2024-09-29,2026-07-24,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
newsnews_forlife,216,101,100,0.47,qsh-beta:101,picelse.com:101,,utm_term=8901×100,101,dailydaily-up.com:1,July 2025,Malaysia,927,4,2025-07-29,2026-06-29,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
xian.nong,201,101,100,0.5,qsh-alpha:101,"lfqgj.com:99,veltot.com:1,ddojoy.com:1",,,100,,March 2025,Hong Kong,6702,6,2025-07-15,2026-09-04,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
srb02145,206,100,100,0.49,qsh-alpha:100,"lovewdk.com:90,aigo7.com:6,wiusbh.com:1,12luckyhome.com:1,dsawjk.com:1,comeworlds.com:1",,,101,daapower.com:1,August 2024,,465,0,2025-01-22,2026-07-17,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
jbn03297,204,100,100,0.49,qsh-alpha:100,roadstert.com:100,,,100,,August 2024,Taiwan,15900,0,2025-01-19,2026-09-04,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
doushijiahao265,200,100,100,0.5,qsh-alpha:100,"wujfu.com:99,eoeonews.com:1",,,100,,October 2024,Hong Kong,16,5,2025-12-09,2026-01-30,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
