cluster,label,domains,l1_posts,accounts,tool,ded,site,casual,tier3_or_toolkeys,l3_posts,l3_replies,per_post,trad,simp,canto
qsh-alpha,dsawjk 群（QSH α）,78,1839,299,100,13,0,175,57,42,41,0.98,0.73,0.05,0.0
ref-active,公開清單仍在營運域（2026-06-11 實測）,13,174,183,0,0,1,171,0,57,66,1.16,0.91,0.03,0.03
farm-enews,enews 操作者,3,259,149,0,0,1,129,23,109,151,1.39,0.96,0.0,0.0
looker-17,buzzhand 群（17-looker 家族）,23,38,118,0,0,0,45,0,15,76,5.07,0.93,0.01,0.0
cand-thai-narrative-amplifiers,監聽站敘事跨區域放大層（10 域，非同操作者）,11,588,117,0,2,4,58,0,148,10,0.07,0.0,0.0,0.0
cand-anyelse-net,anyelse 網候選（載 α 私有追蹤器，snapshot 未渲染）,31,436,100,19,4,0,39,11,16,12,0.75,0.75,0.08,0.0
cand-qhd-adstxt,秦皇島/α ads.txt 帳號重疊候選（snapshot 未 confirm）,22,220,91,12,6,1,33,5,32,92,2.88,0.03,0.0,0.0
family-01,「01 家族」站群,11,573,90,19,4,0,46,40,288,121,0.42,0.6,0.02,0.1
qsh-gamma,picread／maimai 群（QSH γ）,35,18,84,2,1,0,34,3,6,1,0.17,1.0,0.0,0.0
vietnam-adsense,abc24times 群（越南新聞）,8,96,50,0,0,0,43,0,11,2,0.18,0.0,0.0,0.0
qsh-beta,picelse 群（QSH β）,3,230,48,21,5,0,22,30,31,24,0.77,0.88,0.04,0.0
thai-news01-hsupr,news01／HSU-PR 網（泰國 FIMI）,28,1,47,0,0,0,9,0,1,1,1.0,0.0,0.0,0.0
cand-singles,單域待判定（自成一組、無跨域第二線）,11,306,37,1,0,1,25,0,210,237,1.13,0.75,0.17,0.02
farm-eatmary,eatmary + kikinote 群,2,337,29,0,1,2,26,0,106,96,0.91,0.96,0.02,0.02
cand-docilepuppy,α 模板 cloaked 候選群（docilepuppy 系）,22,15,29,5,0,0,19,4,0,0,,,,
cand-ptt-network,ptt* 站群（仿 PTT 命名）,7,7,7,0,0,0,7,0,3,5,1.67,0.8,0.0,0.2
cand-happyshare,happyshare101 + read1read 待判定,2,2,5,0,0,0,1,0,1,1,1.0,0.0,0.0,0.0
farm-twqiang,twqiang 群,5,63,5,0,1,0,0,0,0,0,,,,
cand-tw-cells,小型台灣農場細胞（多組 3 域自我分群）,4,0,3,0,0,0,1,0,0,0,,,,
cand-cn-fanwen,中國范文/知識農場,6,0,1,0,0,0,1,0,0,0,,,,
cand-hk-farms,香港向農場自我分群,3,0,1,0,0,0,0,0,0,0,,,,
ezvivi,ezvivi 鏡像編號站,3,0,0,0,0,0,0,0,0,0,,,,
cand-qastack,qastack 多國 Q&A 抓取網,6,0,0,0,0,0,0,0,0,0,,,,
thai-wdwire,wdwire／深圳博聞（泰國）,4,0,0,0,0,0,0,0,0,0,,,,
ref-groups,公開清單集團歸戶（含大量鏡像，多已死/易主）,7,0,0,0,0,0,0,0,0,0,,,,
