agency,type,n,total_award,avg_award,dom_attr,mev_sh,ltd_noeval_sh,capital,direct
經濟部工業局,勞務比價型,377,3037011204,8055733,勞務,0.249,0.066,0,0
國防部空軍司令部,勞務比價型,193,93831958,486176,勞務,0.036,0.0,0,0
行政院農業委員會農田水利署,勞務比價型,189,126063958,667005,勞務,0.397,0.0,0,0
臺灣銀行股份有限公司,勞務比價型,126,22924934276,181943923,勞務,0.183,0.016,1,0
臺灣土地銀行股份有限公司,勞務比價型,95,37941714,399386,勞務,0.126,0.0,0,0
台灣電力股份有限公司台中發電廠,勞務比價型,92,1895879422,20607385,勞務,0.0,0.065,1,0
財團法人農業科技研究院,勞務比價型,78,35141529,450532,勞務,0.269,0.0,0,0
立法院,勞務比價型,77,35813289,465108,勞務,0.286,0.0,0,0
交通部中央氣象局,勞務比價型,72,358560364,4980005,勞務,0.264,0.097,0,0
交通部公路總局第三區養護工程處,勞務比價型,67,4977515087,74291270,勞務,0.254,0.269,1,1
國防部全民防衛動員署,勞務比價型,65,35213438,541745,勞務,0.369,0.0,0,0
交通部臺灣鐵路管理局,勞務比價型,59,3401414343,57651091,勞務,0.322,0.254,1,1
交通部民用航空局飛航服務總臺,勞務比價型,56,100333028,1791661,勞務,0.232,0.018,0,0
國立臺中教育大學,勞務比價型,49,19743283,402924,勞務,0.245,0.0,0,0
國立臺灣大學生物資源暨農學院實驗林管理處,勞務比價型,39,16311949,418255,勞務,0.051,0.0,0,0
屏東縣政府,委外比優型,178,115325096,647894,勞務,0.657,0.0,0,0
國立臺灣師範大學,委外比優型,121,161916195,1338150,勞務,0.612,0.008,0,0
雲林縣政府,委外比優型,113,62809718,555838,勞務,0.575,0.0,0,0
彰化縣彰化市公所,委外比優型,85,45866105,539601,勞務,0.4,0.0,0,0
嘉義縣政府,委外比優型,82,48556310,592150,勞務,0.573,0.0,0,0
衛生福利部食品藥物管理署,委外比優型,79,173035323,2190321,勞務,0.608,0.038,0,0
花蓮縣政府,委外比優型,76,45845732,603233,勞務,0.592,0.0,0,0
宜蘭縣政府,委外比優型,62,44949357,724990,勞務,0.613,0.016,0,0
臺北市政府工務局,委外比優型,59,4580136715,77629436,勞務,0.661,0.0,1,0
行政院環境保護署,委外比優型,59,1170943850,19846506,勞務,0.898,0.034,0,0
新北市政府消防局,委外比優型,58,34012717,586426,勞務,0.552,0.0,0,0
僑務委員會,委外比優型,58,61084047,1053173,勞務,0.483,0.034,0,0
新北市政府環境保護局,委外比優型,55,24047974,437236,勞務,0.818,0.0,0,0
新竹市政府,委外比優型,53,30479717,575089,勞務,0.679,0.0,0,0
新竹縣竹北市公所,委外比優型,50,24990889,499818,勞務,0.56,0.0,0,0
國立故宮博物院,委外比優型,50,1717987490,34359750,勞務,0.48,0.0,1,0
嘉義市政府,委外比優型,47,24605547,523522,勞務,0.617,0.0,0,0
教育部,委外比優型,47,62950412,1339370,勞務,0.702,0.021,0,0
高雄市政府工務局養護工程處,委外比優型,47,684861909,14571530,勞務,0.745,0.234,0,1
內政部營建署,委外比優型,47,17551132666,373428355,勞務,0.638,0.0,1,0
國立傳統藝術中心,委外比優型,45,28243063,627624,勞務,0.689,0.0,0,0
臺中市和平區公所,委外比優型,45,29055796,645684,勞務,0.511,0.0,0,0
臺南市政府文化局,委外比優型,44,20231381,459804,勞務,0.773,0.0,0,0
苗栗縣頭份市公所,委外比優型,43,19393804,451019,勞務,0.651,0.0,0,0
臺北市立美術館,委外比優型,41,16646183,406004,勞務,0.951,0.0,0,0
新竹縣政府,委外比優型,41,25359075,618514,勞務,0.756,0.0,0,0
彰化縣政府,委外比優型,40,22332202,558305,勞務,0.775,0.0,0,0
司法院,委外比優型,39,21191932,543383,勞務,0.718,0.0,0,0
苗栗縣三義鄉公所,委外比優型,38,20040602,527384,勞務,0.421,0.0,0,0
苗栗縣政府,工程發包型,251,139803974,556988,工程,0.167,0.0,0,0
南投縣政府,工程發包型,242,148644136,614232,工程,0.298,0.0,0,0
桃園市復興區公所,工程發包型,115,84637246,735976,工程,0.209,0.0,0,0
南投縣草屯鎮公所,工程發包型,108,59077497,547014,工程,0.176,0.0,0,0
南投縣仁愛鄉公所,工程發包型,106,47389773,447073,工程,0.208,0.0,0,0
南投縣信義鄉公所,工程發包型,104,47693575,458592,工程,0.154,0.0,0,0
南投縣中寮鄉公所,工程發包型,103,28017388,272013,工程,0.01,0.0,0,0
南投縣埔里鎮公所,工程發包型,101,46826988,463634,工程,0.257,0.0,0,0
南投縣南投市公所,工程發包型,72,33153273,460462,工程,0.097,0.0,0,0
南投縣名間鄉公所,工程發包型,67,34655371,517244,工程,0.194,0.0,0,0
南投縣魚池鄉公所,工程發包型,58,24566290,423557,工程,0.259,0.0,0,0
南投縣竹山鎮公所,工程發包型,54,24010777,444644,工程,0.185,0.0,0,0
臺南市楠西區公所,工程發包型,52,29999580,576915,工程,0.096,0.0,0,0
彰化縣鹿港鎮公所,工程發包型,52,30730588,590973,工程,0.423,0.0,0,0
彰化縣和美鎮公所,工程發包型,51,26686108,523257,工程,0.451,0.0,0,0
屏東縣屏東市公所,工程發包型,51,26526415,520126,工程,0.078,0.0,0,0
臺灣港務股份有限公司高雄港務分公司,工程發包型,49,4155134708,84798668,工程,0.286,0.0,1,0
臺南市永康區公所,工程發包型,42,21357042,508501,工程,0.143,0.0,0,0
台灣糖業股份有限公司善化糖廠,工程發包型,38,22529667,592886,工程,0.0,0.0,0,0
臺北大眾捷運股份有限公司,設備採買型,375,169124945,451000,財物,0.008,0.0,0,0
國立臺灣大學,設備採買型,320,832101099,2600316,財物,0.331,0.031,0,0
國立臺灣大學醫學院附設醫院,設備採買型,319,6541971421,20507747,財物,0.034,0.016,1,0
國立陽明交通大學,設備採買型,284,200381680,705569,財物,0.197,0.007,0,0
臺東縣政府,設備採買型,275,121618329,442248,財物,0.52,0.0,0,0
臺北榮民總醫院,設備採買型,264,5532010022,20954583,財物,0.008,0.0,1,0
行政院原子能委員會核能研究所,設備採買型,225,194940012,866400,財物,0.067,0.0,0,0
國立成功大學,設備採買型,214,227297322,1062137,財物,0.056,0.005,0,0
國立清華大學,設備採買型,213,120094119,563822,財物,0.235,0.0,0,0
國立中興大學,設備採買型,211,146496738,694297,財物,0.085,0.005,0,0
台灣中油股份有限公司,設備採買型,194,51115495343,263481935,財物,0.16,0.191,1,1
台灣電力股份有限公司,設備採買型,165,45808759360,277628845,財物,0.218,0.188,1,1
國立成功大學醫學院附設醫院,設備採買型,152,1695018488,11151437,財物,0.007,0.007,0,0
高雄榮民總醫院,設備採買型,148,673410448,4550071,財物,0.0,0.007,0,0
國防部陸軍司令部,設備採買型,144,69490953,482576,財物,0.083,0.0,0,0
臺中榮民總醫院,設備採買型,144,10317663875,71650444,財物,0.056,0.0,1,0
國防部軍備局生產製造中心,設備採買型,138,63975348,463589,財物,0.007,0.0,0,0
金門縣採購招標所,設備採買型,137,66796803,487568,財物,0.496,0.0,0,0
國防部海軍司令部,設備採買型,133,72440150,544663,財物,0.023,0.0,0,0
