uid,D3,D4,D5,confidence,note
165027-7,A,SHOP,ECOM,H,樂信
165027-413,A,SHOP,ECOM,H,蝦皮 shoppe5 typosquat
165027-1004,A,SHOP,ECOM,H,樂信創意
165027-1198,A,OTHER,TELCO,M,假冒LINE帳號 D4不明
165027-456,A,SHOP,ECOM,H,樂信創意
165027-136,A,SHOP,ECOM,H,樂信
165027-1308,A,SHOP,ECOM,H,美無痕生技
165027-78,A,SHOP,ECOM,H,樂信
165027-1093,A,OTHER,OTHER,M,假冒網路廣告平台業
165027-822,A,SHOP,ECOM,H,樂信創意
165027-160,A,SHOP,ECOM,H,樂信
165027-941,A,SHOP,FIN,M,描述generic但domain link.ecpay.no冒ECPay
165027-312,A,SHOP,ECOM,H,樂信創意
165027-472,A,SHOP,ECOM,H,台灣樂天 typosquat
165027-680,B,SHOP,,M,偽冒電商一頁式 domain opaque無品牌
165027-1338,A,SHOP,ECOM,M,假冒Signal
165027-1134,A,SHOP,ECOM,H,新光三越
165027-1250,A,SHOP,ECOM,H,美無痕生技
165027-909,A,SHOP,ECOM,H,台灣樂天
165027-356,A,SHOP,ECOM,H,蝦皮
165027-187,A,SHOP,ECOM,H,樂信
165027-656,B,SHOP,,L,偽冒電商一頁式 domain opaque
165027-650,B,SHOP,,L,偽冒電商一頁式 domain opaque
165027-323,A,SHOP,ECOM,M,假冒客制化科技
165027-1194,A,OTHER,TELCO,M,假冒LINE帳號
165027-1070,A,SHOP,ECOM,H,東森購物
165027-1020,A,SHOP,ECOM,H,樂信創意
165027-1409,A,SHOP,FIN,M,假冒悠遊卡公司
165027-804,B,SHOP,,L,偽冒電商一頁式 domain opaque
165027-1156,A,SHOP,ECOM,H,樂信創意
160055-01,B,INVEST,,M,KSVR 自創
160055-02,A,INVEST,FIN,H,永豐金證券 真實券商
160055-03,A,INVEST,ECOM,H,家樂福 Carrefour
160055-04,B,INVEST,,L,SRE Group
160055-05,B,INVEST,,L,鴻博 非知名品牌
160055-06,A,INVEST,FIN,M,VITEX 真實crypto交易所
160055-07,A,INVEST,OTHER,H,研華 Advantech
160055-08,A,INVEST,FIN,M,Websea 真實交易所
160055-09,B,INVEST,,L,鼎元國際
160055-10,B,INVEST,,M,Coindoes 自創
160055-11,A,INVEST,FIN,L,TMX 真實交易所集團 模糊
160055-12,B,INVEST,,M,Crypto 通用詞
160055-13,B,INVEST,,M,逸升智投 自創
160055-14,B,INVEST,,M,JTO Platform 自創
160055-15,B,SHOP,,L,C&H Shopping 名稱含Shopping
160055-16,B,INVEST,,M,Manis Exchange 自創
160055-17,A,INVEST,FIN,M,Jubi 聚幣 真實交易所
160055-18,B,INVEST,,L,富士金業
160055-19,B,INVEST,,M,GinkGo fx 自創
160055-20,B,JOB,,L,台灣徵才網 D4 JOB
160055-21,B,INVEST,,L,Chaseth
160055-22,A,INVEST,FIN,H,BlackRock
160055-23,A,INVEST,FIN,M,華泰
160055-24,A,INVEST,ECOM,H,Harrods
160055-25,B,INVEST,,L,USS 通用縮寫
160055-26,B,INVEST,,M,海上風電 主題型
160055-27,A,INVEST,FIN,H,BitMex
160055-28,A,INVEST,FIN,H,Etoro
160055-29,B,INVEST,,M,八星國際 自創
160055-30,B,INVEST,,M,澤晟資產 自創
160055-31,A,INVEST,FIN,M,TMGM 真實broker
160055-32,A,INVEST,OTHER,M,托克國際 Trafigura
160055-33,A,INVEST,FIN,H,Uniswap
160055-34,B,INVEST,,L,蓮豐
160055-35,B,INVEST,,M,Clear Sky
160055-36,A,INVEST,ECOM,M,康是美 Cosmed
160055-37,B,SHOP,,L,Go Shopping
160055-38,A,INVEST,OTHER,M,國際半導體產業協會 SEMI
160055-39,A,INVEST,OTHER,M,托克國際
160055-40,B,INVEST,,M,exzo-dees 自創
176455-01,U,SHOP,,L,電子商務 domain opaque
176455-02,U,INVEST,,L,金融保險 opaque
176455-03,U,INVEST,,L,word1018.shop farm
176455-04,U,INVEST,,L,opaque
176455-05,U,INVEST,,L,bullionve.shop
176455-06,U,INVEST,,L,hosting1023.shop farm
176455-07,U,INVEST,,L,email1121.shop
176455-08,U,INVEST,,L,opaque
176455-09,U,INVEST,,L,coins8 crypto-themed
176455-10,U,INVEST,,L,dyshangcheng 網站性質金融保險
176455-11,U,INVEST,,L,hosting1023.shop farm
176455-12,U,INVEST,,L,bullionve.shop
176455-13,U,INVEST,,L,dyshangcheng farm
176455-14,U,INVEST,,L,opaque
176455-15,U,SHOP,,L,電子商務 globalspocket marginal
176455-16,U,INVEST,,L,hosting1023.shop farm
176455-17,U,INVEST,,L,word1018.shop farm
176455-18,U,INVEST,,L,opaque
176455-19,U,SHOP,,L,電子商務 opaque
176455-20,U,INVEST,,L,dyshangcheng farm
176455-21,U,INVEST,,L,small1006.shop
176455-22,U,INVEST,,L,dyshangcheng farm
176455-23,U,INVEST,,L,cheaps1224.shop
176455-24,U,INVEST,,L,bullionve.shop
176455-25,U,INVEST,,L,hosting1023.shop farm
176455-26,U,INVEST,,L,word1018.shop farm
176455-27,U,UNK,,L,資訊服務
176455-28,U,INVEST,,L,email1121.shop
176455-29,U,UNK,,L,資訊服務 hash subdomain
176455-30,U,UNK,,L,資訊服務
