編號,網域,創建日期,D3,D4,D5,entity,method,conf
1,onlytoppc24.com,2023-06-20T15:13:38,A,SHOP,ECOM,PChome,rule-desc,H
2,tobuyersepc24.com,2023-06-28T11:07:03,A,SHOP,ECOM,PChome,rule-desc,H
3,sharefunpc24.com,2023-06-16T07:47:32,A,SHOP,ECOM,PChome,rule-desc,H
4,topbuypc24.com,2023-06-30T11:36:28,A,SHOP,ECOM,PChome,rule-desc,H
5,comeinpc24.com,2023-07-04T05:29:21,A,SHOP,ECOM,PChome25h,rule-desc,H
6,justfunpc24.com,2023-07-19T07:01:41,A,SHOP,ECOM,PChome,rule-desc,H
7,emord.top,2022-11-14T02:06:27,A,SHOP,ECOM,樂信,rule-desc,H
8,qsoern.com,2022-07-27T01:10:27,A,SHOP,ECOM,樂信,rule-desc,H
9,cqddzz.com,2021-10-12T01:20:30,A,SHOP,ECOM,樂信,rule-desc,H
10,rakuteyzhg.shop,2023-04-06T09:59:15,A,SHOP,ECOM,台灣樂天,rule-desc,H
11,rakutennk.com,2023-07-24T16:25:20,A,SHOP,ECOM,台灣樂天,rule-desc,H
12,rakutenccb.com,2023-06-29T06:26:02,A,SHOP,ECOM,台灣樂天,rule-desc,H
13,letang888.com,2022-11-07T08:41:26,A,SHOP,ECOM,台灣樂天,rule-desc,H
14,hiseud.com,2023-06-20T15:13:38,A,SHOP,ECOM,樂信,rule-desc,H
15,agftyf.shop,2023-05-31T08:22:05,A,SHOP,ECOM,樂信,rule-desc,H
16,momotwafvb.store,2023-08-05T11:04:43,A,SHOP,ECOM,樂信,rule-desc,H
17,momoshopasian.com,2023-08-05T11:04:43,A,SHOP,ECOM,mom,rule-desc,H
18,rakutens-buyer.com,2023-08-22T07:11:11,A,SHOP,ECOM,台灣樂天,rule-desc,H
19,ldscshop.online,2023-06-20T15:13:38,A,SHOP,ECOM,宜睿智慧發行肯德基即享券,rule-desc,H
20,zhkvgshop.online,2023-09-05T07:28:13,A,SHOP,ECOM,宜睿智慧發行肯德基即享券,rule-desc,H
21,usieo.top,2023-05-24T01:44:24,A,SHOP,ECOM,樂信,rule-desc,H
22,rkeos.top,2023-04-26T03:29:20,A,SHOP,ECOM,樂信,rule-desc,H
23,sudok.top,2022-09-23T01:20:55,A,SHOP,ECOM,樂信,rule-desc,H
24,resik.top,2023-02-03T01:43:36,A,SHOP,ECOM,樂信,rule-desc,H
25,fzgtsdf.shop,2023-08-09T02:11:10,A,SHOP,ECOM,樂信,rule-desc,H
26,qnuis.top,2022-06-06T16:07:19,A,SHOP,ECOM,樂信,rule-desc,H
27,jeksvt.com,2022-10-27T01:34:18,A,SHOP,ECOM,樂信,rule-desc,H
28,nerks.top,2022-09-20T07:40:01,A,SHOP,ECOM,樂信,rule-desc,H
29,jsoka.top,2023-04-15T01:28:42,A,SHOP,ECOM,樂信,rule-desc,H
30,tsiod.top,2023-03-24T01:04:43,A,SHOP,ECOM,樂信,rule-desc,H
31,tsuioe.com,2022-11-26T02:58:18,A,SHOP,ECOM,樂信,rule-desc,H
32,cokst.com,2023-05-04T02:47:21,A,SHOP,ECOM,樂信,rule-desc,H
33,fdsbbb.top,2023-04-13T07:20:57,A,SHOP,ECOM,樂信,rule-desc,H
34,twcatea.club,2023-07-31T05:08:53,A,SHOP,ECOM,博客來,rule-desc,H
35,rakutenow.com,2023-08-02T14:30:43,A,SHOP,ECOM,樂天,rule-desc,H
36,pc24user.com,2023-09-28T15:15:04,A,SHOP,ECOM,PChome官方網站竊取帳密,rule-desc,H
37,sveint.com,2023-04-10T06:23:02,A,SHOP,ECOM,樂信,rule-desc,H
38,cikor.top,2023-01-29T06:45:47,A,SHOP,ECOM,樂信,rule-desc,H
39,trcems.com,2023-06-20T15:13:38,A,SHOP,ECOM,樂信,rule-desc,H
