idx,D3,note
1,B,invented finance name
2,A,known telecom brand
3,B,generic shop name
4,U,plausible finance entity
5,B,invented crypto name
6,B,invented crypto name
7,U,obscure Chinese name
8,B,generic short name
9,B,invented crypto name
10,B,invented platform name
11,U,obscure Chinese name
12,A,known trading broker
13,B,generic word brand
14,B,gibberish letters
15,B,invented brand
16,A,known payments brand
17,B,invented trading name
18,B,ambiguous initials
19,B,invented quote name
20,B,generic system name
21,U,obscure finance name
22,B,invented brand
23,B,invented brand
24,U,plausible company name
25,B,gibberish letters
26,A,known network brand
27,B,generic system name
28,B,invented welfare shop
29,A,known Macau resort
30,A,HSBC China reference
31,B,ambiguous initials
32,B,generic phrase
33,U,plausible securities name
34,B,generic task name
35,B,invented brand
36,B,generic word brand
37,B,generic forex term
38,B,generic word brand
39,B,invented abbreviation
40,A,Flipkart misspelling
41,A,known Kuaishou shop
42,B,generic word brand
43,B,generic shop name
44,B,invented trade name
45,U,obscure Chinese name
46,B,invented brand
47,B,invented finance name
48,A,known Sentosa brand
49,U,obscure asset name
50,B,invented brand
51,B,generic entertainment name
52,B,invented abbreviation
53,A,SBI brand mimic
54,B,invented abbreviation
55,B,generic tech phrase
56,B,generic shopping name
57,B,invented crypto name
58,U,plausible tech name
59,B,generic word brand
60,B,gibberish letters
61,U,obscure Chinese name
62,B,gibberish letters
63,B,invented brand
64,B,generic word brand
65,B,broken generic name
66,B,invented brand
67,B,invented payment name
68,B,gibberish letters
69,U,obscure company name
70,U,obscure company name
71,B,invented shop name
72,B,generic profit name
73,B,generic mall name
74,A,known investment bank
75,A,known financial brand
76,B,invented crypto name
77,B,gibberish letters
78,A,known bank brand
79,U,obscure securities name
80,B,generic phrase brand
81,B,generic exchange name
82,B,generic crypto token
83,A,known BOC International
84,B,invented mall name
85,U,obscure software name
86,B,generic job portal
87,B,generic capital phrase
88,A,known eBay brand
89,B,generic myth name
90,A,known metals broker
91,A,known IG broker
92,B,generic word brand
93,A,known Pictet brand
94,B,generic casino name
95,B,gibberish letters
96,B,invented shop name
97,B,gibberish brand
98,B,invented crypto name
99,B,generic meme term
100,B,gibberish letters
101,A,known securities firm
102,A,Rakuten misspelling
103,B,ambiguous initials
104,B,generic shop name
105,B,generic marketing platform
106,A,known Macquarie brand
107,B,gibberish brand
108,A,known bank brand
109,A,known AllianceBernstein name
110,B,invented crypto name
111,A,known Kaola brand
112,A,known blockchain brand
113,U,obscure company name
114,B,invented exchange name
115,B,generic wealth name
116,U,plausible exchange name
117,B,generic shop name
118,B,invented brand
119,B,invented brand
120,U,obscure Chinese name
121,A,known futures firm
122,B,invented brand
123,B,generic trading name
124,B,ambiguous initials
125,A,known crypto exchange
126,B,generic shopping name
127,B,invented brand
128,B,invented ecommerce name
129,U,obscure platform name
130,B,invented shop platform
131,B,ambiguous initials
132,B,generic small shop
133,A,known Macau resort
134,U,obscure company name
135,B,gibberish letters
136,A,known industry association
137,B,invented brand
138,B,invented crypto name
139,B,invented brand
140,B,ambiguous initials
141,B,invented exchange name
142,B,ambiguous initials
143,B,generic phrase brand
