idx,name,cnt,d4,D3_claude,D3_codex,D3_consensus
1,GSC Global Stable Currency Trading Account,16,INVEST,B,B,B
2,中華電信,50,INVEST,A,A,A
3,匯鑫賣場,4,SHOP,B,B,B
4,Wellington Financial,5,INVEST,B,U,U
5,CoinB,6,INVEST,B,B,B
6,BitClog,12,INVEST,B,B,B
7,鴻發,17,INVEST,U,U,U
8,一正,20,INVEST,U,B,U
9,Unobitex,1,INVEST,B,B,B
10,資豐e點通,44,INVEST,B,B,B
11,臺寶,45,INVEST,U,U,U
12,Mitrade,19,INVEST,A,A,A
13,Aether,6,INVEST,B,B,B
14,HUWKF,5,INVEST,B,B,B
15,AIMELIKE,1,INVEST,B,B,B
16,WorldPay,48,INVEST,A,A,A
17,GlobeOption,7,INVEST,B,B,B
18,MB,1,INVEST,U,B,U
19,iqquote,6,INVEST,B,B,B
20,智能檢測系統,1,INVEST,B,B,B
21,竣達金融,4,INVEST,U,U,U
22,Fasonla,91,INVEST,B,B,B
23,Nwalden,10,INVEST,B,B,B
24,OTG OnTheGo Limited,1,INVEST,B,U,U
25,JDTNS,2,INVEST,B,B,B
26,Hub Culture,4,INVEST,U,A,U
27,數值調節控制中心,10,INVEST,B,B,B
28,達人福利棧,6,INVEST,B,B,B
29,澳門新濠影匯娛樂有限公司,2,INVEST,A,A,A
30,匯豐中華,17,INVEST,A,A,A
31,LSG,19,INVEST,U,B,U
32,FREE TRADE,2,INVEST,B,B,B
33,萬通證券,18,INVEST,U,U,U
34,樂活接案,2,INVEST,B,B,B
35,Bhilio,2,INVEST,B,B,B
36,Antique,4,INVEST,B,B,B
37,FOREX,36,INVEST,B,B,B
38,Valley,1,INVEST,B,B,B
39,SGjpn,14,INVEST,B,B,B
40,Filpkart,2,INVEST,A,A,A
41,快手小店,22,INVEST,A,A,A
42,Royal,3,INVEST,B,B,B
43,Global Buy,2,SHOP,B,B,B
44,Forcetrade,7,INVEST,B,B,B
45,富雄,25,INVEST,U,U,U
46,Fastex,35,INVEST,A,B,U
47,Jetswap Capital,6,INVEST,B,B,B
48,聖淘沙,3,INVEST,A,A,A
49,澤晟資產,22,INVEST,U,U,U
50,發發奇,5,INVEST,A,B,U
51,財星娛樂,17,INVEST,B,B,B
52,XMUS,2,INVEST,B,B,B
53,SBIMAX,4,INVEST,U,A,U
54,MTREX,1,INVEST,B,B,B
